district,region,vulnerability_index_pc1,gi_star_queen,gi_star_queen_class,gi_star_knn6,gi_star_knn6_class,lisa_quadrant_queen,lisa_pvalue_queen
Komenda Edina Eguafo Abirem Municipal,Central,0.0679552288480343,-0.34966599633840495,not_significant,-0.3977265170470823,not_significant,4,0.263
Banda,Bono,1.0955768833366093,-0.021768230510633254,not_significant,0.09171513608624109,not_significant,1,0.433
Sefwi Wiawso Municipal,Western North,-0.459917430562289,-0.2773848281947601,not_significant,-0.2988939108373377,not_significant,3,0.217
Jaman North,Bono,-0.9128477796501612,-0.3136082789739914,not_significant,-0.4136058575023796,not_significant,3,0.278
Asunafo South,Ahafo,-0.5140933290342086,-0.3014082405062403,not_significant,-0.36167644939206256,not_significant,3,0.272
Tain,Bono,-0.5324154844629101,-0.30702257984392217,not_significant,-0.5825319274087853,not_significant,3,0.267
Nkoranza South Municipal,Bono East,-0.9849092408898468,-0.3152509964502244,not_significant,-0.3840026567918203,not_significant,3,0.276
Sekyere Kumawu,Ashanti,-0.3134135942167989,-0.13861119456974746,not_significant,-0.4996696489320241,not_significant,3,0.393
Bole,Savannah,1.7859872961265308,-1.1523551251200534,coldspot,-0.6512368816624253,not_significant,1,0.006
Sekyere Afram Plains,Ashanti,1.1878499932964517,-0.02015497347602431,not_significant,0.13822551085216012,not_significant,1,0.438
Asante Akim North Municipal,Ashanti,-0.8923617332198177,-0.21438694988887871,not_significant,-0.4663186920915272,not_significant,3,0.346
Asante Akim Central Municipal,Ashanti,-1.2063983418749018,-0.4420526961100711,not_significant,-0.44693796913455514,not_significant,3,0.135
Kintampo North Municipal,Bono East,0.6392700578729897,-0.9126378936041357,coldspot,-0.7246927930744302,not_significant,1,0.026
Asokore Mampong Municipal,Ashanti,-1.602513566186329,-1.003181812154097,coldspot,-1.1806004726996895,coldspot,3,0.003
Atebubu Amantin Municipal,Bono East,-0.0377423324057842,0.10125081759711374,not_significant,0.011667472665444852,not_significant,2,0.368
Kwadaso Municipal,Ashanti,-2.252727457612132,-1.0086945728889316,coldspot,-1.1206633251219393,coldspot,3,0.002
Kpandai,Northern,1.5155722250996857,-1.0852284319506937,coldspot,-0.689253564113479,not_significant,1,0.011
Ejisu Municipal,Ashanti,-1.1974054904746445,-0.655230737271725,coldspot,-0.6679731629478732,coldspot,3,0.023
Nkwanta North (Kpassa),Oti,1.9958205013016763,-0.8245118005512984,not_significant,-0.8729824619708407,coldspot,1,0.089
Biakoye,Oti,-0.1110217616909774,-0.13528207602876335,not_significant,-0.22808139118911946,not_significant,3,0.388
Wassa Amenfi East Municipal,Western,0.4344586254360316,-0.1918417189093279,not_significant,-0.08550854271706972,not_significant,4,0.333
Central Gonja,Savannah,4.657088499559454,-1.3369812833608428,coldspot,-1.2034224738060117,coldspot,1,0.001
Tema West Municipal,Greater Accra,-2.9438517264678383,-1.176356288182797,not_significant,-1.3162955147677824,coldspot,3,0.093
Ashaiman Municipal,Greater Accra,-2.6020953701605243,-1.1316304238528965,not_significant,-1.3449590209476123,coldspot,3,0.11
Pru East,Bono East,0.0228867228383158,0.6186061319303737,not_significant,0.5875261851662769,not_significant,1,0.097
Kpone Katamanso Municipal,Greater Accra,-2.079646365171536,-1.0123467123743388,coldspot,-1.4008218122700251,coldspot,3,0.003
Savelugu Municipal,Northern,3.1344999786696315,-1.8893119597296382,coldspot,-1.6699688914575024,coldspot,1,0.001
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,Northern,0.0929452170644402,2.120830373483405,hotspot,1.9563939150537164,hotspot,1,0.001
Karaga,Northern,4.05395029421899,-1.9019267186780655,coldspot,-2.035311935328448,coldspot,1,0.001
North East Gonja,Savannah,4.190842663659907,-0.8428798870609647,coldspot,-0.6490583704244207,not_significant,1,0.005
South Dayi,Volta,0.1445422034045421,0.04391690892759996,not_significant,-0.25030173192192284,not_significant,1,0.433
Tempane,Upper East,4.441891604499848,-1.4876036631733551,coldspot,-1.6432927335938536,coldspot,1,0.01
Bolgatanga East,Upper East,0.514532088762876,1.79642845654793,hotspot,1.6596203248813546,hotspot,1,0.001
Yunyoo Nasuan,North East,4.910165603146773,-1.8910274157024232,coldspot,-2.02704748878897,coldspot,1,0.002
Nanton,Northern,2.970629072330241,-1.4564023505174322,coldspot,-1.712563562677984,coldspot,1,0.003
Assin Central Municipal,Central,-1.3522131679992266,-0.1790198673709084,not_significant,-0.08619398561935455,not_significant,3,0.383
Gomoa Central,Central,-0.517653609658988,-0.22077313136648233,not_significant,-0.0467778563464809,not_significant,3,0.385
Pru West,Bono East,0.3886150353986822,0.16656436921553372,not_significant,0.16656436921553372,not_significant,1,0.307
Berekum West,Bono,-1.3126949597037652,-0.7118190897928163,not_significant,-0.7631721271709997,coldspot,3,0.095
Ahafo Ano South West,Ashanti,-0.2990877610442236,-0.22172981411508144,not_significant,-0.3109277363875972,not_significant,3,0.319
Amansie South,Ashanti,-0.2271081751721367,-0.26554897356588153,not_significant,-0.39443088319316827,not_significant,3,0.301
Atwima Nwabiagya North,Ashanti,-1.1952394340964776,-0.5737081122654567,not_significant,-0.6681322753376155,coldspot,3,0.09
Akrofuom,Ashanti,0.4188137673066506,-0.35633584649779676,not_significant,-0.4597179588484082,not_significant,4,0.162
Adansi North,Ashanti,-1.023766872927765,-0.4442372355147234,not_significant,-0.4442372355147234,not_significant,3,0.135
Obuasi East,Ashanti,-1.489306741772931,-0.32890766333191784,not_significant,-0.3141519432270969,not_significant,3,0.275
Afigya Kwabre North,Ashanti,0.1163818359582427,-0.31715895545519956,not_significant,-0.5127461374080821,not_significant,4,0.281
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,-2.405662849545586,-1.1785784702622488,coldspot,-1.1785784702622488,coldspot,3,0.001
Oforikrom Municipal,Ashanti,-2.027216465861971,-0.9641041076605181,coldspot,-1.1401821639460796,coldspot,3,0.006
Asokwa Municipal,Ashanti,-2.7221447348250707,-0.9671733253744987,coldspot,-1.1517967702063907,coldspot,3,0.006
Old Tafo Municipal,Ashanti,-2.107494680636043,-0.989002624000311,coldspot,-1.203891665716705,coldspot,3,0.004
Suame Municipal,Ashanti,-2.2984783973131755,-0.9754127381647486,coldspot,-1.120374178080166,coldspot,3,0.002
Juaben Municipal,Ashanti,-0.5824025644536868,-0.6041942703274003,not_significant,-0.6923302732714572,coldspot,3,0.075
Ablekuma Central Municipal,Greater Accra,-1.994559229378307,-1.3896206392614219,coldspot,-1.3009059146875435,coldspot,3,0.001
Korle Klottey Municipal,Greater Accra,-2.624232284453809,-1.235498579837624,coldspot,-1.1320936206438355,coldspot,3,0.001
Ablekuma North Municipal,Greater Accra,-2.812605183642497,-1.254080514311741,coldspot,-1.2284385049947188,coldspot,3,0.001
Ayawaso North Municipal,Greater Accra,-1.665691454090401,-1.3133040348851213,coldspot,-1.3312520320457664,coldspot,3,0.001
Ayawaso East Municipal,Greater Accra,-1.2453773933793484,-1.3504635305227704,coldspot,-1.3585989899098772,coldspot,3,0.001
Okaikoi North Municipal,Greater Accra,-2.587437001581376,-1.3033502232209668,coldspot,-1.253079159573542,coldspot,3,0.001
Ga North Municipal,Greater Accra,-2.3842591748497046,-1.2865727405574159,coldspot,-1.237606839992438,coldspot,3,0.003
Weija Gbawe Municipal,Greater Accra,-2.4545807838370584,-1.1196379698601107,coldspot,-1.288702118516047,coldspot,3,0.001
Krowor Municipal,Greater Accra,-2.4812264444056136,-1.4071576527598226,coldspot,-1.4486860897981777,coldspot,3,0.004
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,-2.1586426312893794,-1.5962366646117236,coldspot,-1.3823361066332711,coldspot,3,0.007
East Gonja Municipal,Savannah,1.5647596537482074,-1.0702917702921533,coldspot,-0.8888584864900132,coldspot,1,0.016
Ablekuma West Municipal,Greater Accra,-2.430825962549212,-1.3101728280307499,coldspot,-1.263946714283743,coldspot,3,0.001
Ayawaso Central Municipal,Greater Accra,-2.4748112084632967,-1.1349081799056038,coldspot,-1.1533984982416496,coldspot,3,0.002
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,-2.3845682356141915,-1.339088102365403,coldspot,-1.2299870312179058,coldspot,3,0.001
Anloga,Volta,1.14899517874723,-0.26692137097120505,not_significant,-0.3335308025339796,not_significant,1,0.308
"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",Western,-2.082721647791606,-0.37719987177483494,not_significant,-0.3597733837279167,not_significant,3,0.252
Kwahu South Municipal,Eastern,-0.0570469910923767,-0.4117074086898771,not_significant,-0.4735846625720793,not_significant,3,0.202
Asene Manso Akroso,Eastern,-0.5128342646193725,-0.3266324967180765,not_significant,-0.40121035253455145,not_significant,3,0.232
Upper Manya Krobo,Eastern,-0.8461395043034512,-0.3509490545705773,not_significant,-0.5656023365721589,not_significant,3,0.194
Achiase,Eastern,0.427564229355143,-0.24629977064491174,not_significant,-0.4159727179289774,not_significant,4,0.389
Okere,Eastern,-0.7709888960828418,-0.8684249406073167,coldspot,-0.805265932469639,coldspot,3,0.044
Yilo Krobo Municipal,Eastern,-1.2443529133755635,-0.7765239440938425,coldspot,-0.7362754937160472,coldspot,3,0.01
Atiwa West,Eastern,-1.1125982495779223,-0.4906929034631673,not_significant,-0.6042695056403551,not_significant,3,0.092
New Juaben North Municipal,Eastern,-2.188430788319207,-0.833549120915292,coldspot,-0.7650246160530434,coldspot,3,0.015
Fanteakwa North,Eastern,-0.6996832439458622,-0.37500625226334766,not_significant,-0.6223404227940379,not_significant,3,0.229
Birim North,Eastern,-1.0911649183916576,-0.5674780208560576,not_significant,-0.5420701949188254,not_significant,3,0.13
Asuogyaman,Eastern,-0.8259151298990852,-0.20562131993398763,not_significant,-0.1812165517182254,not_significant,3,0.387
Kwahu East,Eastern,-0.518983907765682,-0.2829509622788997,not_significant,-0.47085265638165624,not_significant,3,0.335
Kwahu West Municipal,Eastern,-1.4891253467776793,-0.3754340153098735,not_significant,-0.4384915820404935,not_significant,3,0.246
Lower Manya Krobo Municipal,Eastern,-0.7698347179303097,-0.526839958561648,not_significant,-0.4456808908235051,not_significant,3,0.179
Nsawam Adoagyiri Municipal,Eastern,-1.509891593849196,-0.24935668069412664,not_significant,-0.8667040207943316,coldspot,3,0.36
Akwapim South Municipal,Eastern,-1.1562311581129745,-0.47207462494109687,not_significant,-1.1536020857690081,coldspot,3,0.208
Denkyembuor,Eastern,-1.1179028988928823,-0.5252675855505646,not_significant,-0.46123004861009176,not_significant,3,0.094
Kwaebibirem Municipal,Eastern,-0.9642712483379132,-0.5479725654816721,not_significant,-0.6289865230491587,not_significant,3,0.107
Kwahu Afram Plains South,Eastern,-0.0160455353987689,-0.1773272081749137,not_significant,-0.09558891571499761,not_significant,3,0.383
Kwahu Afram Plains North,Eastern,0.4880793327595769,-0.30344648572509314,not_significant,-0.08735519676430241,not_significant,4,0.325
Suhum Municipal,Eastern,-1.61645212790177,-0.7397926665187756,coldspot,-0.7917306600031162,coldspot,3,0.03
Ayensuano,Eastern,-0.2543057846857023,-0.5164512561170026,not_significant,-0.6539591873212636,coldspot,3,0.056
Abuakwa South Municipal,Eastern,-0.7957736274526265,-0.7120864027130238,coldspot,-0.7120864027130238,coldspot,3,0.032
