district,region,vulnerability_index_pc1,gi_star_queen,gi_star_queen_class,gi_star_knn6,gi_star_knn6_class,lisa_quadrant_queen,lisa_pvalue_queen
Juaben Municipal,Ashanti,-0.5824025644536868,-0.6041942703274011,not_significant,-0.692330273271458,coldspot,3,0.067
Ablekuma Central Municipal,Greater Accra,-1.994559229378307,-1.3896206392614239,coldspot,-1.3009059146875448,coldspot,3,0.001
Korle Klottey Municipal,Greater Accra,-2.624232284453809,-1.2354985798376241,coldspot,-1.1320936206438357,coldspot,3,0.001
Ablekuma North Municipal,Greater Accra,-2.812605183642497,-1.2540805143117408,coldspot,-1.2284385049947182,coldspot,3,0.001
Ayawaso North Municipal,Greater Accra,-1.665691454090401,-1.31330403488512,coldspot,-1.3312520320457653,coldspot,3,0.001
Ayawaso East Municipal,Greater Accra,-1.2453773933793484,-1.3504635305227715,coldspot,-1.3585989899098783,coldspot,3,0.001
Okaikoi North Municipal,Greater Accra,-2.587437001581376,-1.3033502232209675,coldspot,-1.2530791595735429,coldspot,3,0.001
Ga North Municipal,Greater Accra,-2.3842591748497046,-1.2865727405574168,coldspot,-1.2376068399924385,coldspot,3,0.001
Weija Gbawe Municipal,Greater Accra,-2.4545807838370584,-1.1196379698601109,coldspot,-1.288702118516047,coldspot,3,0.001
Krowor Municipal,Greater Accra,-2.4812264444056136,-1.4071576527598249,coldspot,-1.4486860897981797,coldspot,3,0.002
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,-2.1586426312893794,-1.5962366646117236,coldspot,-1.3823361066332713,coldspot,3,0.002
East Gonja Municipal,Savannah,1.5647596537482074,1.070291770292154,hotspot,0.8888584864900134,hotspot,1,0.014
Ablekuma West Municipal,Greater Accra,-2.430825962549212,-1.3101728280307519,coldspot,-1.2639467142837444,coldspot,3,0.001
Ayawaso Central Municipal,Greater Accra,-2.4748112084632967,-1.1349081799056056,coldspot,-1.1533984982416514,coldspot,3,0.001
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,-2.3845682356141915,-1.3390881023654058,coldspot,-1.229987031217908,coldspot,3,0.001
Anloga,Volta,1.14899517874723,0.26692137097120516,not_significant,0.33353080253397965,not_significant,1,0.33
"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",Western,-2.082721647791606,-0.3771998717748353,not_significant,-0.3597733837279166,not_significant,3,0.243
Kwahu South Municipal,Eastern,-0.0570469910923767,-0.41170740868987676,not_significant,-0.47358466257207893,not_significant,3,0.172
Asene Manso Akroso,Eastern,-0.5128342646193725,-0.3266324967180766,not_significant,-0.4012103525345516,not_significant,3,0.224
Upper Manya Krobo,Eastern,-0.8461395043034512,-0.35094905457057785,not_significant,-0.5656023365721603,not_significant,3,0.176
Achiase,Eastern,0.427564229355143,-0.24629977064491193,not_significant,-0.4159727179289771,not_significant,4,0.411
Okere,Eastern,-0.7709888960828418,-0.868424940607319,coldspot,-0.8052659324696408,coldspot,3,0.042
Yilo Krobo Municipal,Eastern,-1.2443529133755635,-0.776523944093843,coldspot,-0.736275493716048,coldspot,3,0.007
Atiwa West,Eastern,-1.1125982495779223,-0.4906929034631675,not_significant,-0.6042695056403555,not_significant,3,0.078
New Juaben North Municipal,Eastern,-2.188430788319207,-0.833549120915292,coldspot,-0.7650246160530434,coldspot,3,0.016
Fanteakwa North,Eastern,-0.6996832439458622,-0.37500625226334744,not_significant,-0.622340422794038,not_significant,3,0.197
Birim North,Eastern,-1.0911649183916576,-0.5674780208560581,not_significant,-0.5420701949188259,not_significant,3,0.124
Asuogyaman,Eastern,-0.8259151298990852,-0.20562131993398777,not_significant,-0.18121655171822518,not_significant,3,0.382
